File,Priority,Occurrences,Status,Tested,Commit
components/_match_score.html,HIGH,6,TODO,NO,
components/_match_rack_input.html,HIGH,6,TODO,NO,
components/_match_admin_controls.html,HIGH,10,TODO,NO,
components/_match_result_row.html,HIGH,5,TODO,NO,
components/_gara_matches.html,HIGH,6,TODO,NO,
player/gara_detail.html,HIGH,8,TODO,NO,
admin/gara_result_overview.html,HIGH,10,TODO,NO,
individual_match/match_detail.html,HIGH,12,TODO,NO,
components/_separated_dashboard_content.html,HIGH,10,TODO,NO,
components/_current_matches_dashboard.html,HIGH,4,TODO,NO,
components/_match_info.html,HIGH,3,TODO,NO,
components/_match_header.html,HIGH,3,TODO,NO,
components/_user_recent_matches_table.html,HIGH,1,TODO,NO,
components/_recent_matches.html,HIGH,1,TODO,NO,
components/_player_recent_matches.html,HIGH,1,TODO,NO,
components/_director_recent_matches.html,HIGH,1,TODO,NO,
components/_match_bye.html,HIGH,1,TODO,NO,
components/_recent_matches_dashboard.html,HIGH,1,TODO,NO,
components/_current_matches.html,HIGH,2,TODO,NO,
components/_director_current_matches.html,HIGH,2,TODO,NO,
components/_individual_matches.html,HIGH,1,TODO,NO,
individual_match/matches.html,HIGH,3,TODO,NO,
components/_gara_header.html,MEDIUM,3,TODO,NO,
components/_gara_edit_form.html,MEDIUM,3,TODO,NO,
components/_gara_cards.html,MEDIUM,1,TODO,NO,
components/_campionato_garas.html,MEDIUM,4,TODO,NO,
public/gara_detail.html,MEDIUM,4,TODO,NO,
public/garas_list.html,MEDIUM,3,TODO,NO,
components/_available_garas.html,MEDIUM,1,TODO,NO,
components/_available_proofs.html,MEDIUM,3,TODO,NO,
components/_director_my_inscriptions.html,MEDIUM,1,TODO,NO,
components/_my_inscriptions.html,MEDIUM,1,TODO,NO,
components/_my_inscriptions_dashboard.html,MEDIUM,3,TODO,NO,
components/_player_dashboard_content.html,MEDIUM,1,TODO,NO,
components/_director_dashboard_content.html,MEDIUM,1,TODO,NO,
components/_match_opportunities.html,MEDIUM,1,TODO,NO,
components/_unified_cards.html,MEDIUM,2,TODO,NO,
player/match_proposals.html,MEDIUM,3,TODO,NO,
components/_round_management.html,MEDIUM,3,TODO,NO,
admin/campionato_detail.html,LOW,3,TODO,NO,
admin/gara_create_standalone.html,LOW,0,TODO,NO,
individual_match/proposals.html,LOW,3,TODO,NO,
individual_match/dashboard.html,LOW,2,TODO,NO,
player/create_match_proposal.html,LOW,0,TODO,NO,
individual_match/create_proposal.html,LOW,0,TODO,NO,
